,index,Unnamed: 0,iso_code,region_group,income_group,country,survey,year,level,grade,category,sex,location,wealth,region,ethnicity,religion,language,disability,hh_edu_head,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
15,42845,42846,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex,Female,Rural,,,,,,,,0.861400008201599,0.689300000667572,0.601599991321564,0.890699982643127,0.633899986743927,0.621200025081635,,0.0295000001788139,0.0610000006854534,,,,1172.0,852.0,817.0,2739.0,2739.0,2293.0,1149.0,1149.0,1149.0,,,,,,,,0.0658000037074089,1759.0,0.92059999704361,1042.0,0.933000028133392,514.0,0.275099992752075,915.0,0.164700001478195,915.0,0.152799993753433,790.0,,,,,0.976499974727631,3774.0,,,,,,,,,,,,,,,,,,,,,,,,
16,42846,42847,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex,Female,Urban,,,,,,,,0.938199996948242,0.828700006008148,0.805499970912933,0.96670001745224,0.793900012969971,0.826900005340576,,0.001300000003539,0.0080000003799796,,,,861.0,885.0,846.0,2687.0,2687.0,2344.0,1210.0,1210.0,1210.0,,,,,,,,0.0339000001549721,1271.0,0.962499976158142,1205.0,0.964699983596802,750.0,0.451400011777878,1036.0,0.312700003385544,1036.0,0.285100013017654,902.0,,,,,0.993799984455109,5146.0,,,,,,,,,,,,,,,,,,,,,,,,
17,42847,42848,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex,Male,Rural,,,,,,,,0.737299978733063,0.491499990224838,0.460500001907349,0.79449999332428,0.477400004863739,0.501500010490417,,0.0368999987840652,0.0986000001430511,,,,1281.0,1072.0,988.0,3297.0,3297.0,2643.0,1388.0,1388.0,1388.0,,,,,,,,0.109999999403954,1944.0,0.825800001621246,1314.0,0.923200011253357,549.0,0.210500001907349,1232.0,0.113399997353554,1232.0,0.0961999967694283,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,42848,42849,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex,Male,Urban,,,,,,,,0.873300015926361,0.705699980258942,0.67519998550415,0.926500022411346,0.688899993896484,0.730099976062775,,0.0077999997884035,0.0186000000685453,,,,843.0,854.0,780.0,2612.0,2612.0,2298.0,1193.0,1193.0,1193.0,,,,,,,,0.0780000016093254,1316.0,0.911099970340729,1230.0,0.95169997215271,702.0,0.384499996900558,1099.0,0.223800003528595,1099.0,0.243699997663498,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,42849,42850,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Rural,Quintile 1,,,,,,,0.713500022888184,0.318599998950958,0.215399995446205,0.719900012016296,0.307900011539459,0.287400007247925,,0.0654999986290932,0.148000001907349,,,,388.0,233.0,230.0,810.0,810.0,751.0,340.0,340.0,340.0,,,,,,,,0.109399996697903,713.0,0.784500002861023,211.0,0.787599980831146,51.0,0.062899999320507,276.0,0.0302000008523464,276.0,0.0124000003561378,225.0,,,,,0.922399997711182,718.0,,,,,,,,,,,,,,,,,,,,,,,,
20,42850,42851,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Rural,Quintile 2,,,,,,,0.899999976158142,0.705099999904633,0.569599986076355,0.932099997997284,0.656300008296967,0.614000022411346,,0.0263999998569489,0.0502000004053116,,,,309.0,241.0,210.0,712.0,712.0,582.0,280.0,280.0,280.0,,,,,,,,0.0498999990522861,474.0,0.909099996089935,303.0,0.889400005340576,122.0,0.197400003671646,254.0,0.1283999979496,254.0,0.0878999978303909,200.0,,,,,0.97460001707077,990.0,,,,,,,,,,,,,,,,,,,,,,,,
21,42851,42852,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Rural,Quintile 3,,,,,,,0.940400004386902,0.833899974822998,0.787800014019012,0.96340000629425,0.768999993801117,0.773500025272369,,0.0156999994069338,0.0207000002264977,,,,243.0,171.0,169.0,538.0,538.0,408.0,214.0,214.0,214.0,,,,,,,,0.046900000423193,304.0,0.986500024795532,238.0,0.937799990177155,124.0,0.3091000020504,166.0,0.119099996984005,166.0,0.138999998569489,169.0,,,,,0.993499994277954,852.0,,,,,,,,,,,,,,,,,,,,,,,,
22,42852,42853,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Rural,Quintile 4,,,,,,,0.954900026321411,0.911800026893616,0.885500013828278,0.973900020122528,0.854200005531311,0.915899991989136,,0.010499999858439,0.016499999910593,,,,162.0,135.0,138.0,459.0,459.0,398.0,218.0,218.0,218.0,,,,,,,,0.0182000007480383,169.0,0.986899971961975,197.0,0.980199992656708,144.0,0.538600027561188,165.0,0.345099985599518,165.0,0.267300009727478,127.0,,,,,0.995199978351593,825.0,,,,,,,,,,,,,,,,,,,,,,,,
23,42853,42854,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Rural,Quintile 5,,,,,,,0.960399985313416,0.934599995613098,0.821699976921082,0.972400009632111,0.833700001239777,0.879599988460541,,0.0,0.0116999996826053,,,,70.0,72.0,70.0,220.0,220.0,154.0,97.0,97.0,97.0,,,,,,,,0.0,99.0,0.931999981403351,93.0,0.988399982452393,73.0,0.653699994087219,54.0,0.521200001239777,54.0,0.505999982357025,69.0,,,,,0.993399977684021,389.0,,,,,,,,,,,,,,,,,,,,,,,,
24,42854,42855,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Urban,Quintile 1,,,,,,,0.805800020694733,0.575699985027313,0.446399986743927,0.846599996089935,0.426699995994568,0.359600007534027,,0.0265999995172024,0.100500002503395,,,,50.0,39.0,41.0,131.0,131.0,107.0,60.0,60.0,60.0,,,,,,,,0.126300007104874,112.0,0.948800027370453,37.0,,,0.122800000011921,33.0,0.0,33.0,0.0467999987304211,55.0,,,,,0.9685999751091,146.0,,,,,,,,,,,,,,,,,,,,,,,,
25,42855,42856,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Urban,Quintile 2,,,,,,,0.867999970912933,0.716499984264374,0.713100016117096,0.925899982452393,0.628400027751923,0.607699990272522,,0.0,0.0131999999284744,,,,141.0,110.0,96.0,363.0,363.0,312.0,155.0,155.0,155.0,,,,,,,,0.0515000000596046,246.0,0.900099992752075,149.0,0.901300013065338,63.0,0.137299999594688,138.0,0.0421999990940094,138.0,0.0285999998450279,114.0,,,,,0.985700011253357,560.0,,,,,,,,,,,,,,,,,,,,,,,,
26,42856,42857,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Urban,Quintile 3,,,,,,,0.950500011444092,0.836399972438812,0.770699977874756,0.97409999370575,0.80349999666214,0.823499977588654,,0.0,0.0031000000890344,,,,169.0,144.0,145.0,491.0,491.0,441.0,229.0,229.0,229.0,,,,,,,,0.033500000834465,258.0,0.968999981880188,211.0,0.935400009155273,125.0,0.186199992895126,199.0,0.100400000810623,199.0,0.0714000016450882,180.0,,,,,0.995299994945526,913.0,,,,,,,,,,,,,,,,,,,,,,,,
27,42857,42858,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Urban,Quintile 4,,,,,,,0.962800025939941,0.858299970626831,0.833700001239777,0.982900023460388,0.839299976825714,0.879100024700165,,0.0,0.0020999999251216,,,,214.0,235.0,223.0,663.0,663.0,610.0,284.0,284.0,284.0,,,,,,,,0.0124000003561378,325.0,0.977999985218048,324.0,0.980400025844574,188.0,0.495799988508224,302.0,0.280900001525879,302.0,0.257699996232986,249.0,,,,,0.995999991893768,1419.0,,,,,,,,,,,,,,,,,,,,,,,,
28,42858,42859,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Female,Urban,Quintile 5,,,,,,,0.963299989700317,0.858200013637543,0.859099984169006,0.97759997844696,0.847400009632111,0.904299974441528,,0.0006999999750405,0.003400000045076,,,,287.0,357.0,341.0,1039.0,1039.0,874.0,482.0,482.0,482.0,,,,,,,,0.0181000009179115,330.0,0.967700004577637,484.0,0.976599991321564,358.0,0.682900011539459,364.0,0.562099993228912,364.0,0.537699997425079,304.0,,,,,0.994899988174438,2108.0,,,,,,,,,,,,,,,,,,,,,,,,
29,42859,42860,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Rural,Quintile 1,,,,,,,0.504299998283386,0.207599997520447,0.17960000038147,0.568099975585938,0.215499997138977,0.234300002455711,,0.0967999994754791,0.244200006127357,,,,465.0,364.0,320.0,1102.0,1102.0,865.0,430.0,430.0,430.0,,,,,,,,0.198400005698204,720.0,0.640999972820282,314.0,0.793099999427795,66.0,0.0584000013768673,420.0,0.0329999998211861,420.0,0.0083999997004866,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,42860,42861,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Rural,Quintile 2,,,,,,,0.780099987983704,0.437200009822845,0.363900005817413,0.819800019264221,0.420300006866455,0.438699990510941,,0.0185000002384186,0.0692000016570091,,,,365.0,279.0,265.0,896.0,896.0,715.0,388.0,388.0,388.0,,,,,,,,0.0822999998927116,541.0,0.80129998922348,359.0,0.884800016880035,129.0,0.149499997496605,323.0,0.0531000010669231,323.0,0.0421000011265278,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,42861,42862,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Rural,Quintile 3,,,,,,,0.88400000333786,0.668099999427795,0.648500025272369,0.921700000762939,0.622900009155273,0.645500004291534,,0.0102000003680587,0.0238000005483627,,,,256.0,224.0,215.0,673.0,673.0,510.0,281.0,281.0,281.0,,,,,,,,0.0688000023365021,353.0,0.878899991512299,332.0,0.923600018024445,145.0,0.227300003170967,227.0,0.105999998748302,227.0,0.102700002491474,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,42862,42863,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Rural,Quintile 4,,,,,,,0.974699974060059,0.80460000038147,0.769999980926514,0.973900020122528,0.776099979877472,0.807900011539459,,0.0107000004500151,0.0266999993473291,,,,141.0,147.0,135.0,443.0,443.0,396.0,206.0,206.0,206.0,,,,,,,,0.0230000000447035,237.0,0.955600023269653,215.0,0.973399996757507,140.0,0.45550000667572,190.0,0.261400014162064,190.0,0.25670000910759,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,42863,42864,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Rural,Quintile 5,,,,,,,0.967199981212616,0.851100027561188,0.883899986743927,0.981000006198883,0.859300017356873,0.824999988079071,,0.0,0.0,,,,54.0,58.0,53.0,183.0,183.0,157.0,83.0,83.0,83.0,,,,,,,,0.0136000001803041,93.0,0.975300014019012,94.0,0.993799984455109,69.0,0.584200024604797,72.0,0.4341000020504,72.0,0.378100007772446,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,42864,42865,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Urban,Quintile 1,,,,,,,0.47299998998642,0.217099994421005,0.198899999260902,0.594600021839142,0.212699994444847,0.228799998760223,,0.0610000006854534,0.147499993443489,,,,73.0,51.0,40.0,170.0,170.0,150.0,69.0,69.0,69.0,,,,,,,,0.280800014734268,123.0,0.686299979686737,46.0,,,0.0467000007629395,80.0,0.0,80.0,0.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,42865,42866,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Urban,Quintile 2,,,,,,,0.766600012779236,0.496199995279312,0.426800012588501,0.836899995803833,0.471599996089935,0.449299991130829,,0.0241999998688698,0.0507000014185905,,,,148.0,131.0,122.0,410.0,410.0,368.0,185.0,185.0,185.0,,,,,,,,0.1216000020504,273.0,0.835099995136261,170.0,0.822300016880035,57.0,0.0922999978065491,183.0,0.0284000001847744,183.0,0.0766000002622604,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,42866,42867,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Urban,Quintile 3,,,,,,,0.878400027751923,0.644699990749359,0.626699984073639,0.932299971580505,0.621200025081635,0.687099993228912,,0.0043000001460313,0.0138999996706843,,,,191.0,203.0,168.0,590.0,590.0,494.0,257.0,257.0,257.0,,,,,,,,0.0603000000119209,287.0,0.861599981784821,282.0,0.940299987792969,128.0,0.232999995350838,236.0,0.0835999995470047,236.0,0.0988999977707863,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,42867,42868,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Urban,Quintile 4,,,,,,,0.934899985790253,0.721300005912781,0.679700016975403,0.968400001525879,0.761300027370453,0.787599980831146,,0.0,0.0031999999191612,,,,191.0,207.0,200.0,655.0,655.0,610.0,325.0,325.0,325.0,,,,,,,,0.0449000000953674,300.0,0.934000015258789,306.0,0.943499982357025,199.0,0.375,283.0,0.214900001883507,283.0,0.207100003957748,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,42868,42869,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Sex & Wealth,Male,Urban,Quintile 5,,,,,,,0.968800008296967,0.89709997177124,0.871299982070923,0.984099984169006,0.852199971675873,0.927100002765656,,0.0020000000949949,0.0020000000949949,,,,240.0,262.0,250.0,787.0,787.0,676.0,357.0,357.0,357.0,,,,,,,,0.0294000003486872,333.0,0.970600008964539,426.0,0.978299975395203,312.0,0.71450001001358,317.0,0.474200010299683,317.0,0.485900014638901,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,42869,42870,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Wealth,,Rural,Quintile 1,,,,,,,0.600499987602234,0.250499993562698,0.194700002670288,0.632600009441376,0.254799991846085,0.258799999952316,,0.0829000025987625,0.201399996876717,,,,853.0,597.0,550.0,1912.0,1912.0,1616.0,770.0,770.0,770.0,,,,,,,,0.154499992728233,1433.0,0.700800001621246,525.0,0.790700018405914,117.0,0.060199998319149,696.0,0.0318999998271465,696.0,0.0099999997764825,600.0,,,,,0.922399997711182,718.0,,,,,,,,,,,,,,,,,,,,,,,,
40,42870,42871,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Wealth,,Rural,Quintile 2,,,,,,,0.835300028324127,0.56029999256134,0.454499989748001,0.869499981403351,0.524800002574921,0.517799973487854,,0.0218000002205372,0.0612000003457069,,,,674.0,520.0,475.0,1608.0,1608.0,1297.0,668.0,668.0,668.0,,,,,,,,0.0674000009894371,1015.0,0.851000010967255,662.0,0.887000024318695,251.0,0.170900002121925,577.0,0.0866999998688698,577.0,0.0617999993264675,469.0,,,,,0.97460001707077,990.0,,,,,,,,,,,,,,,,,,,,,,,,
41,42871,42872,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Wealth,,Rural,Quintile 3,,,,,,,0.911199986934662,0.740800023078918,0.712300002574921,0.940299987792969,0.688199996948242,0.703299999237061,,0.0126000000163913,0.0225000008940697,,,,499.0,395.0,384.0,1211.0,1211.0,918.0,495.0,495.0,495.0,,,,,,,,0.0586999990046024,657.0,0.924300014972687,570.0,0.930199980735779,269.0,0.26350000500679,393.0,0.111800000071526,393.0,0.118900001049042,377.0,,,,,0.993499994277954,852.0,,,,,,,,,,,,,,,,,,,,,,,,
42,42872,42873,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Wealth,,Rural,Quintile 4,,,,,,,0.963900029659271,0.855799973011017,0.826799988746643,0.973900020122528,0.815699994564056,0.862100005149841,,0.0105999996885657,0.0215000007301569,,,,303.0,282.0,273.0,902.0,902.0,794.0,424.0,424.0,424.0,,,,,,,,0.0209999997168779,406.0,0.970700025558472,412.0,0.97680002450943,284.0,0.495099991559982,355.0,0.30129998922348,355.0,0.261799991130829,264.0,,,,,0.995199978351593,825.0,,,,,,,,,,,,,,,,,,,,,,,,
43,42873,42874,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Wealth,,Rural,Quintile 5,,,,,,,0.963299989700317,0.896899998188019,0.847800016403198,0.976300001144409,0.845200002193451,0.852500021457672,,0.0,0.0063999998383224,,,,124.0,130.0,123.0,403.0,403.0,311.0,180.0,180.0,180.0,,,,,,,,0.0063000000081956,192.0,0.953700006008148,187.0,0.99099999666214,142.0,0.614499986171722,126.0,0.472000002861023,126.0,0.447699993848801,131.0,,,,,0.993399977684021,389.0,,,,,,,,,,,,,,,,,,,,,,,,
44,42874,42875,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Wealth,,Urban,Quintile 1,,,,,,,0.606899976730347,0.368900001049042,0.321299999952316,0.701900005340576,0.303799986839294,0.282900005578995,,0.0454000011086464,0.126200005412102,,,,123.0,90.0,81.0,301.0,301.0,257.0,129.0,129.0,129.0,,,,,,,,0.20890000462532,235.0,0.801100015640259,83.0,,,0.0705000013113022,113.0,0.0,113.0,0.0223999992012978,118.0,,,,,0.9685999751091,146.0,,,,,,,,,,,,,,,,,,,,,,,,
45,42875,42876,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Wealth,,Urban,Quintile 2,,,,,,,0.817399978637695,0.598999977111816,0.556400001049042,0.879199981689453,0.54610002040863,0.52240002155304,,0.0131999999284744,0.0337000004947186,,,,289.0,241.0,218.0,773.0,773.0,680.0,340.0,340.0,340.0,,,,,,,,0.0879999995231628,519.0,0.867200016975403,319.0,0.866299986839294,120.0,0.112199999392033,321.0,0.0344999991357327,321.0,0.0573999993503094,283.0,,,,,0.985700011253357,560.0,,,,,,,,,,,,,,,,,,,,,,,,
